block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
1900 CHAMBERS AV,1,,,,,,,,,,,,1
1900 CLARK RD,,1,,,,,,,,,,,1
1900 COLEMAN AVE,,,,1,,,,,,,,,1
1900 CREEK CROSSING DR,,,,1,,,,,,,,,1
1900 DILLARD ST,,,,,,1,,,,,,,1
1900 E BELKNAP 1998 AIRPORT FW,,1,,,,,,,,,,,1
1900 E INTERSTATE 820 FREEWAY,,,,,1,,,,,,,,1
1900 E INTERSTATE 820 FW,,,1,,,,,,,,,,1
1900 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,1,,,,,,1
1900 EPPS AVE,,,,,,1,,,,,,,1
1900 FRANCIS ST,1,,,,,,,,,,,,1
1900 HARRINGTON AV,,1,,,,,,,,,,,1
1900 HIGHWAY,,,,,1,,,,,,,,1
1900 IM TERRELL WAY,,,,,,,,,,,1,,1
1900 INTERMODAL PK,,,,1,,,,,,,,,1
1900 JASPER ST,,,,,,1,,,,,,,1
1900 KINGSBROOK TRL,,,,,,1,,,,,,,1
1900 KRISTEN CT,,,,,1,,,,,,,,1
1900 LARIAT DR,,,,,,1,,,,,,,1
1900 LINCOLNSHIRE WAY,,1,,,,,,,,,,,1
1900 LOMA LINDA CT,,,,,1,,,,,,,,1
1900 LYNNHAVEN RD,,,,,,1,,,,,,,1
1900 MARTEL AVE,,,,,1,,,,,,,,1
1900 MC CURDY ST,,,,,,,,,,,1,,1
1900 MCKENZIE ST,,,,,1,,,,,,,,1
1900 MERRICK ST,,,,,1,,,,,,,,1
1900 MISSOURI AV,,,,1,,,,,,,,,1
1900 N INTERSTATE 820 FW,1,,,,,,,,,,,,1
1900 NORTH SOUTH FW,1,,,,,,,,,,,,1
1900 NORTHEAST LOOP INTERSTATE 820 820 S,,,,,,,1,,,,,,1
1900 OAK HILL RD,,,,,1,,,,,,,,1
1900 OLD PECOS TRL,,,,,,1,,,,,,,1
1900 PRAIRIE AV,,1,,,,,,,,,,,1
1900 PRAIRIE AVE,,,,1,,,,,,,,,1
1900 PRECINCT LINE RD,,,,,,1,,,,,,,1
1900 RAMADA TR,,,1,,,,,,,,,,1
1900 RIDGE OAK ST,,,,,,1,,,,,,,1
1900 RIDGMAR BL,,,,,,,,,,,1,,1
1900 ROBIN AVE,,,,,1,,,,,,,,1
1900 ROCKBROOK CT,,1,,,,,,,,,,,1
1900 S EDGEWOOD TER,,,,,,,,,,,1,,1
1900 S HUGHES AVE,,,,,,,,,,,1,,1
1900 SILVER CREEK RD,,,,,1,,,,,,,,1
1900 STATE HWY,,,,,,1,,,,,,,1
1900 TRAVIS AV,1,,,,,,,,,,,,1
1900 TURNER RIGDE,,,,,,,,,,,,1,1
1900 VERA AVE,,,,,1,,,,,,,,1
1900 WATAUGA SMITHFIELD RD,,,,,,1,,,,,,,1
1900 WEST FW,1,,,,,,,,,,,,1
1900 WEST LOOP INTERSTATE 820 820 NORTH,,1,,,,,,,,,,,1
1900 WHITE SETTLEMENT RD,,,,,,1,,,,,,,1
1900 YUMA ST,,,1,,,,,,,,,,1
1901 HEMPHILL ST 1909 S JENNINGS AVE,,,,,,,,,,,1,,1
200 30 EXIT HENDERSON,,,,,,,,,,,1,,1
200 A HEIGHTS LN,,1,,,,,,,,,,,1
200 ARTHUR ST,,,,,,1,,,,,,,1
200 B HEIGHTS LN,,1,,,,,,,,,,,1
200 BENS TR,,,,,1,,,,,,,,1
200 BENS TRL,,,,,,,1,,,,,,1
200 CALLENDER DR,,,,1,,,,,,,,,1
200 COACH HOUSE CI,,1,,,,,,,,,,,1
200 COTILLION RD,,,,,1,,,,,,,,1
200 DAKOTA RIDGE DR,,,,1,,,,,,,,,1
200 DUPONT CI,,,1,,,,,,,,,,1
200 E INTERSTATE 820 FW,,1,,,,,,,,,,,1
200 EXETER ST,,,,,,1,,,,,,,1
200 FALL CEDAR DR,,,,,1,,,,,,,,1
200 GARDEN ACRES DR SOUTH FRWY,1,,,,,,,,,,,,1
200 GOLDENEYE LN,,,,,,1,,,,,,,1
200 GRAND AVE,,,,1,,,,,,,,,1
200 GROSS ST,,,,,,,,,,,1,,1
200 HURST BL,,,,,,,,,,,,1,1
200 LUXTON ST,,1,,,,,,,,,,,1
200 MILLS ST,,,,,1,,,,,,,,1
200 N NORTH SOUTH FREEWAY SERVICE ROAD,1,,,,,,,,,,,,1
200 NE 28TH ST,,,,,,,,,,,,1,1
200 NEW YORK AV,,1,,,,,,,,,,,1
200 PARKWAY DR,,,,,1,,,,,,,,1
200 PLUM HOLLOW,,,,1,,,,,,,,,1
200 PRAIRIE GULCH DR,,,,,1,,,,,,,,1
200 RAILHEAD RD,,,,,,1,,,,,,,1
200 RUSTIC VIEW RD,,,,,,1,,,,,,,1
200 SHADOWGRASS AVE,,,,,,1,,,,,,,1
200 SHADY ROCK CT,,,,,1,,,,,,,,1
200 SHEFFIELD DR,,,,,1,,,,,,,,1
200 SHERIDAN RD,,,,,1,,,,,,,,1
200 SILVER LAKE TRL,,,,,,1,,,,,,,1
200 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
200 THROCKMORTON ST,,,,,,1,,,,,,,1
200 W LANCASTER AVE,,,,,,,,,,,1,,1
200 W PAFFORD ST 3800 ST LOUIS AV,,1,,,,,,,,,,,1
200 WEBER RIVER TRL,,,,,1,,,,,,,,1
200 WOLF MOUNTAIN LN,,,,,1,,,,,,,,1
2000 ALSTON AVE,,,,,1,,,,,,,,1
2000 BARRON LN,,,,,,1,,,,,,,1
2000 BETTIBART ST,,,,1,,,,,,,,,1
2000 BEVERLY AV,,1,,,,,,,,,,,1
2000 BLANCO LN,,,,,,1,,,,,,,1
2000 BREE CT,,,,,,1,,,,,,,1
2000 CANTON DR,,,,,,1,,,,,,,1
2000 CASTLEBERRY CUT OFF RD,,,,,1,,,,,,,,1
2000 CHAUCER ST,,,,,,1,,,,,,,1
2000 CHISHOLM TRAIL PK,,,,,,,,,,,,1,1
2000 COLLEGE AVE,,,,,,1,,,,,,,1
2000 COLUMBUS AV,,,1,,,,,,,,,,1
2000 DAVID DR,,1,,,,,,,,,,,1
2000 DILLARD ST,,,,,,1,,,,,,,1
2000 E INTERSTATE 820 FREEWAY,,,,1,,,,,,,,,1
2000 E MADDOX AVE,,,,,,,,,,,1,,1
2000 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,1,,,,,1
2000 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,,1,,,,,1
2000 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,,1,,,,,1
2000 EVERMAN PK,,,,,1,,,,,,,,1
2000 FAIRMOUNT AVE,,,,,,1,,,,,,,1
2000 GOULD AV,,1,,,,,,,,,,,1
2000 HANDLEY EDERVILLE RD,,,1,,,,,,,,,,1
2000 HIGHLAND PARK CIR N,,,,1,,,,,,,,,1
2000 HUDSON,,,1,,,,,,,,,,1
2000 HULEN ST,,,,,,1,,,,,,,1
2000 HUNTINGTON LN,,,,,1,,,,,,,,1
2000 I M TERRELL WAY,,1,,,,,,,,,,,1
2000 LEANDRA LN,,,1,,,,,,,,,,1
2000 LOVING AV,,,,1,,,,,,,,,1
2000 MAPLELEAF ST,,,,,1,,,,,,,,1
2000 MILAM ST,,,,,1,,,,,,,,1
2000 MISSISSIPPI AVE,,,,,1,,,,,,,,1
2000 MONTCLAIR DR,,,,,1,,,,,,,,1
2000 NEW YORK AVE,,,,,1,,,,,,,,1
2000 OWASSO ST,,,,,1,,,,,,,,1
2000 PROVINE ST,,,,,1,,,,,,,,1
2000 RANCH LN,,,,1,,,,,,,,,1
2000 ROSS AV,,,1,,,,,,,,,,1
2000 S RIVERSIDE DR,,,,,,,,,,,1,,1
2000 SANGUINET ST,,,,,1,,,,,,,,1
2000 SHAWNEE TRL,,,,,,1,,,,,,,1
2000 SHELMAN TR,,,1,,,,,,,,,,1
2000 SONOMA CREEK LN,,,,,,,,,,,,1,1
2000 SOUTHCREST DR,,,,1,,,,,,,,,1
2000 SOUTHEAST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
2000 TARRANT PK,,,,,,,,,,,1,,1
2000 TERMINAL RD,,,,,1,,,,,,,,1
2000 TREMONT AVE,,,,1,,,,,,,,,1
2000 VALLEY FORGE TRL,,,,,,1,,,,,,,1
2000 W BERRY ST,,,,,,,,,,,1,,1
2000 WALLACE ST,,,,1,,,,,,,,,1
2000 WATAUGA RD,,,,,1,,,,,,,,1
2000 WATSON ST,,,,,1,,,,,,,,1
2100 5 JACOCKS LN,,1,,,,,,,,,,,1
2100 ALSTON AVE,,,,1,,,,,,,,,1
2100 BARRON LN,,,,,1,,,,,,,,1
2100 BELLE AVE,,,,,,1,,,,,,,1
2100 BERYL ST,,,,,,1,,,,,,,1
2100 BEVERLY AV,,1,,,,,,,,,,,1
2100 BLANDIN ST,,,,,1,,,,,,,,1
2100 CARLETON AV,,,,1,,,,,,,,,1
2100 CHAMBERS AVE,,,,,,1,,,,,,,1
2100 COLD SPRINGS RD,,,,,,1,,,,,,,1
2100 COLEMAN AVE,,,,,1,,,,,,,,1
2100 COLLEGE AV,,,1,,,,,,,,,,1
2100 COLUMBUS AV,1,,,,,,,,,,,,1
2100 DAKOTA ST,,,,,1,,,,,,,,1
2100 DALFORD ST,,,,,1,,,,,,,,1
2100 DAVID DR,,,,,1,,,,,,,,1
2100 DELAWARE AVE,,,,,,,,,,,1,,1
2100 E LANCASTER AVE,,,,,,,,,,,1,,1
2100 FAIRWAY DR,,,,,,1,,,,,,,1
2100 FLEMMING DR,,,,,,1,,,,,,,1
2100 FLINT ST,,,,,,1,,,,,,,1
2100 FOREST AV,,1,,,,,,,,,,,1
2100 FRANKS ST,,1,,,,,,,,,,,1
2100 GOLDEN TRIANGLE BL,,,,1,,,,,,,,,1
2100 GRAYSON AV,,1,,,,,,,,,,,1
2100 GREENHILL CI,,1,,,,,,,,,,,1
2100 HANDLEY DRIVE,,,,1,,,,,,,,,1
2100 IM TERRELL WAY,,,,,,,,,,,,1,1
2100 JOYNER RANCH RD,,,,,1,,,,,,,,1
2100 JUNIUS ST,,,,1,,,,,,,,,1
2100 LEANDRA LN,,,,1,,,,,,,,,1
2100 LINCOLN AV,,,1,,,,,,,,,,1
2100 LYNNHAVEN RD,,,1,,,,,,,,,,1
2100 MALONE ST,,,,,1,,,,,,,,1
2100 MAYFIELD VILLA DR,1,,,,,,,,,,,,1
2100 MC CURDY ST,,,,,,,,,,,1,,1
2100 MISTLETOE AVE,,,,,,1,,,,,,,1
2100 MORRISON DR,,,,1,,,,,,,,,1
2100 MUSE ST,,,,,,1,,,,,,,1
2100 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
2100 PRAIRIE AV,1,,,,,,,,,,,,1
2100 ROBERTS CUT OFF RD,,,,1,,,,,,,,,1
2100 ROCKRIDGE TER,,,,,,,,,,,1,,1
2100 ROOSEVELT AV,1,,,,,,,,,,,,1
2100 S RIVERSIDE DR,,,,,,,,,,,1,,1
2100 S ROSALINDA PA,,,,,,,,,1,,,,1
2100 SANBORN AV,1,,,,,,,,,,,,1
2100 SANGUINET ST,,,,,,1,,,,,,,1
2100 SHANE AV,1,,,,,,,,,,,,1
2100 SHELMAN TRL,,,,,1,,,,,,,,1
2100 SIMIFORD ST,,,,,,1,,,,,,,1
2100 SOUTH FREEWAY SERVICE ROAD,,,,1,,,,,,,,,1
2100 SOUTHWEST LOOP INTERSTATE 820,,,,,1,,,,,,,,1
2100 STRATFORD PARK DR,,,,1,,,,,,,,,1
2100 TAFT ST,,,,,,1,,,,,,,1
2100 TEXAN DR,,,,1,,,,,,,,,1
2100 VALLEY FORGE TRL,,,,1,,,,,,,,,1
2100 W COBB PARK DR,,,,,,,,,,,1,,1
2100 W LOTUS AVE,,,,,,,,,,,,1,1
2100 WAYSIDE CIR,,,,1,,,,,,,,,1
2100 WENNECA AVE,,,,1,,,,,,,,,1
2100 WEST LOOP INTERSTATE 820 820 NORTH,,,,1,,,,,,,,,1
2100 WILLIAMS PL,,,,,,1,,,,,,,1
2100 YALE ST,,,,,,1,,,,,,,1
2100 YUCCA AVE,,,,,1,,,,,,,,1
21900 CORTEZ DRIVE,1,,,,,,,,,,,,1
2200 5TH AV,1,,,,,,,,,,,,1
2200 8TH AV,1,,,,,,,,,,,,1
2200 ALLEN BROOK,,,,1,,,,,,,,,1
2200 ALTA CANADA LN,,,,,1,,,,,,,,1
2200 ASH CRESCENT ST,,,,,1,,,,,,,,1
2200 ASHLAND AVE,,,,,1,,,,,,,,1
2200 ASTER AVE,,,,1,,,,,,,,,1
2200 BEVERLY AVE,,,,,,1,,,,,,,1
2200 BRENNAN AVE,,,,,1,,,,,,,,1
2200 CHAMBERS ST,,,,,,1,,,,,,,1
2200 CLAIRBORNE DR,,,,1,,,,,,,,,1
2200 COLUMBUS AV,,,1,,,,,,,,,,1
2200 CRESTVIEW DR,1,,,,,,,,,,,,1
2200 E BERRY ST,,,,,,,,,,,1,,1
2200 EASTOVER AVE,,,,,,1,,,,,,,1
2200 EPHRIHAM AVE,,,,,1,,,,,,,,1
2200 EVANS AV,1,,,,,,,,,,,,1
2200 FAIRMOUNT AV,,,,1,,,,,,,,,1
2200 FLIGHT LINE RD,,,,1,,,,,,,,,1
2200 FOREST PARK BL WEST FW,,,1,,,,,,,,,,1
2200 FROSTED WILLOW LN,,,,,,1,,,,,,,1
2200 GARRISON AV,,,1,,,,,,,,,,1
2200 GOLDENROD AVE,,,,,,1,,,,,,,1
2200 GOULD AV,,1,,,,,,,,,,,1
2200 HOOKS LN,,,1,,,,,,,,,,1
2200 HURLEY AV,,,1,,,,,,,,,,1
2200 IM TERRELL WAY,,,,,,,,,,,,1,1
2200 IRION AVE,,,,,,1,,,,,,,1
2200 JUAREZ DR,,,,,,,,,,,,1,1
2200 KENLEY ST,,,,,,1,,,,,,,1
2200 LITTLE ST,,,,,,1,,,,,,,1
2200 LOTUS AVE,,,,,,1,,,,,,,1
2200 MISSISSIPPI AVE,,,,1,,,,,,,,,1
2200 NORHT SOUTH FR,,1,,,,,,,,,,,1
2200 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,1,,,,,,,,1
2200 PEARL AV,1,,,,,,,,,,,,1
2200 PORTER CREEK DR,,,,,,,,,,,1,,1
2200 PRIVATE RD,,,,,1,,,,,,,,1
2200 PROSPECT AVE,,,,,,1,,,,,,,1
2200 PROVINE ST,,,1,,,,,,,,,,1
2200 RIDGMAR PL,,1,,,,,,,,,,,1
2200 SOUTHWEST LOOP INTERSTATE 820,,,,1,,,,,,,,,1
2200 STANLEY AV,1,,,,,,,,,,,,1
2200 STREAMS & VALLEYS,,1,,,,,,,,,,,1
2200 THOMAS PL,,,,,,,,,,,1,,1
2200 UNIVERSITY DR,,1,,,,,,,,,,,1
2200 VAUGHN BLVD,,,,,,,,,,,,1,1
2200 W INTERSTATE 20 SERV RD,,,,1,,,,,,,,,1
2200 WEST FREEWAY,,,,,1,,,,,,,,1
2200 WEST LOOP INTERSTATE 820 820 SOUTH,,,,,1,,,,,,,,1
2200 WESTPORT PK,,,,,,,,,,,,1,1
2200 WHIRLYBIRD WAY,,,,,,1,,,,,,,1
2200 WHITE SETTLEMENT RD,,,,,1,,,,,,,,1
2226 SOUTH FREEWAY 728 W ALLEN AV,,1,,,,,,,,,,,1
2300 8TH AV,,,1,,,,,,,,,,1
2300 ARROWHEAD CT,,,,,,1,,,,,,,1
2300 ASHLAND AV,,1,,,,,,,,,,,1
2300 ASHLAND AVE,,,,,,1,,,,,,,1
2300 ASTER AVE,,,,,,1,,,,,,,1
2300 AUSTIN RD,,,,,1,,,,,,,,1
2300 AVE H,,,,,,,,1,,,,,1
2300 BELLE AV,,,1,,,,,,,,,,1
2300 BEVERLY HILLS DR,,,,,,1,,,,,,,1
2300 BLANDIN ST,,,,,,,,,,,1,,1
2300 BONNIE BRAE ST,,,1,,,,,,,,,,1
2300 CARNATION AVE,,,,,1,,,,,,,,1
2300 CLEARVIEW DR,,,,,,1,,,,,,,1
2300 DAVID DR,,,,1,,,,,,,,,1
2300 DAWN CT,1,,,,,,,,,,,,1
2300 DILLARD ST,,,,,1,,,,,,,,1
2300 DODGE AVE,,,,1,,,,,,,,,1
2300 E INTERSTATE 820 FREEWAY N,,,,,1,,,,,,,,1
2300 E INTERSTATE 820 FREEWAY S,,,,,1,,,,,,,,1
2300 EAST FREEWAY,,,,,,,1,,,,,,1
2300 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
2300 EASTOVER AV,,,,1,,,,,,,,,1
2300 EMBREY PL,,,,,1,,,,,,,,1
2300 ESCALANTE AV,,1,,,,,,,,,,,1
2300 EVANS AV,,,1,,,,,,,,,,1
2300 FAETT CT,,1,,,,,,,,,,,1
2300 FARRELL LN,,,,,1,,,,,,,,1
2300 FLINT ST,,,,,,1,,,,,,,1
2300 FOREST PARK BL,,,,,,1,,,,,,,1
2300 FOXGLEN CT,,,1,,,,,,,,,,1
2300 FREELAND RIDGE,,,,,,1,,,,,,,1
2300 GOLDENROD AV,,1,,,,,,,,,,,1
2300 GOULD AV,,,1,,,,,,,,,,1
2300 GRAYSON AVE,,,,,,1,,,,,,,1
2300 HALF MOON BAY LN,,,,,1,,,,,,,,1
2300 HARVEST GLEN CT,,,,1,,,,,,,,,1
2300 HARWOOD ST,,,,,1,,,,,,,,1
2300 HORSEBACK TR,,,1,,,,,,,,,,1
2300 HORSEBACK TRL,,,,,1,,,,,,,,1
2300 JACOCKS LN,,,1,,,,,,,,,,1
2300 JENSON CIR,,,,,,1,,,,,,,1
2300 JENSON CT,,,,,,1,,,,,,,1
2300 LAKE FALLS DR,,,,,1,,,,,,,,1
2300 LANDS END BL,,,,,1,,,,,,,,1
2300 LEE AV,,1,,,,,,,,,,,1
2300 LINCOLN AV,,1,,,,,,,,,,,1
2300 LORETO DR,,,,,1,,,,,,,,1
2300 LUCAS DR,,,1,,,,,,,,,,1
2300 MARKET AV,,1,,,,,,,,,,,1
2300 MCGEE ST,,,,,1,,,,,,,,1
2300 MILLER AV,1,,,,,,,,,,,,1
2300 MISSISSIPPI AVE,,,,,1,,,,,,,,1
2300 MISTLETOE AVE,,,,,,1,,,,,,,1
2300 N INTERSTATE 820 FW,,1,,,,,,,,,,,1
2300 NE JIM WRIGHT FW,1,,,,,,,,,,,,1
2300 NEW YORK AVE,,,,,,1,,,,,,,1
2300 NW JIM WRIGHT FW,,1,,,,,,,,,,,1
2300 PROSPECT AV,,,1,,,,,,,,,,1
2300 QUEEN ST,,,,1,,,,,,,,,1
2300 RAND ST,,,,,,1,,,,,,,1
2300 RIDGMAR PL,1,,,,,,,,,,,,1
2300 ROGERS AV,1,,,,,,,,,,,,1
2300 ROGERS AVE,,,,,1,,,,,,,,1
2300 ROSS AV,,,1,,,,,,,,,,1
2300 SAN JOSE DR,,,,1,,,,,,,,,1
2300 SHROPSHIRE ST,,,,1,,,,,,,,,1
2300 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY SERVICE ROAD,,,,,,,,,1,,,,1
2300 STRATFORD CT,,,,,,1,,,,,,,1
2300 SWEETWOOD DR,1,,,,,,,,,,,,1
2300 TUDOR DR APT,,,1,,,,,,,,,,1
2300 W BERRY ST 3100 MCCART,1,,,,,,,,,,,,1
2300 WAGNER AV,,1,,,,,,,,,,,1
2300 WEST FREEWAY,,,,,,1,,,,,,,1
2300 WEST FW,,,,1,,,,,,,,,1
2300 WEST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,1,,,,,1
2300 WESTBROOK AV,,,1,,,,,,,,,,1
2300 WINDHAM ST,,,,,,1,,,,,,,1
2300 WOODMONT TR,,,1,,,,,,,,,,1
2300 WOODMONT TRL,,,,,1,,,,,,,,1
2400 1 OAK HILL,1,,,,,,,,,,,,1
2400 A LOST ME,,,,,,1,,,,,,,1
2400 BELLE PL,,,,,1,,,,,,,,1
2400 BOMAR AV,,1,,,,,,,,,,,1
2400 CANCHIM ST,,,,,,,1,,,,,,1
2400 CAPRI DR,,,,,,1,,,,,,,1
2400 CLINTON AV 300 NW 25TH,,1,,,,,,,,,,,1
2400 COLUMBUS AV,,,,1,,,,,,,,,1
2400 COVERT AV 5100 MCCART AV,1,,,,,,,,,,,,1
2400 DALFORD ST,,,,,,1,,,,,,,1
2400 DENBURY DR,,,,,1,,,,,,,,1
2400 DUNDEE AV,,,1,,,,,,,,,,1
2400 E BELKNAP ST,,,,,,,,,,,1,,1
2400 E BERMONT RED LA,,,,,,,,,,,1,,1
2400 E INTERSTATE 820 FREEWAY,,,,,,1,,,,,,,1
2400 E INTERSTATE 820 FREEWAY N,,,,,,1,,,,,,,1
2400 E LANCASTER AVE,,,,,,,,,,,1,,1
2400 E SEMINARY DR,,,,,,,,,,,1,,1
2400 EAGLE PK,,,,,1,,,,,,,,1
2400 EAST FRWY SERVICE ROAD,,,,,,,1,,,,,,1
2400 EAST LOOP INTERSTATE 820 820 SOUTH,,,,,1,,,,,,,,1
2400 EDGECLIFF RD,,,,1,,,,,,,,,1
2400 EPHRIHAM AV,,1,,,,,,,,,,,1
2400 ESCALANTE AVE,,,,,1,,,,,,,,1
2400 FAIRWAY DR,,,,,1,,,,,,,,1
2400 FARRELL LN,,,,,,1,,,,,,,1
2400 FOREST AV,1,,,,,,,,,,,,1
2400 FREELAND RIDGE DR,,,,,,1,,,,,,,1
2400 GELBRAY PL,,,,,,,1,,,,,,1
2400 GOULD AV,1,,,,,,,,,,,,1
2400 HANNA AV,,,1,,,,,,,,,,1
2400 HORSEBACK TR,,,1,,,,,,,,,,1
2400 KELTON ST,,,,1,,,,,,,,,1
2400 KENLEY ST,,,,,1,,,,,,,,1
2400 KENTUCKY AVE,,,,,,1,,,,,,,1
2400 LEE AV,,,1,,,,,,,,,,1
2400 LENA ST,,,,1,,,,,,,,,1
2400 LILLIAN ST,,,,,,1,,,,,,,1
2400 LINCOLN AV,,,1,,,,,,,,,,1
2400 LOWRIEMORE LN,,,,,1,,,,,,,,1
2400 LUCAS DR,,,,1,,,,,,,,,1
2400 LYDON AVE,,,,,,1,,,,,,,1
2400 MACIE AVE,,,,,1,,,,,,,,1
2400 MARINE CREEK PK,,,,1,,,,,,,,,1
2400 MARKET AV,,1,,,,,,,,,,,1
2400 MICHAEL ST,,1,,,,,,,,,,,1
2400 N JIM WRIGHT FW,1,,,,,,,,,,,,1
2400 N MAIN ST,,,,,,,,,,,1,,1
2400 NEVILLE ST,,,,1,,,,,,,,,1
2400 NORTH SOUTH FW,,,1,,,,,,,,,,1
2400 NORTHEAST LOOP INTERSTATE 820 820 S,,,,,1,,,,,,,,1
2400 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,,,,,,,1
2400 NORTHWEST LOOP INTERSTATE 820 820 S,,,,,,,,1,,,,,1
2400 NW JIM WRIGHT FW,,1,,,,,,,,,,,1
2400 OXFORD AVE,,,,,1,,,,,,,,1
2400 PARK PLACE AVE,,,,,,1,,,,,,,1
2400 PARKVIEW DR,,,,,,1,,,,,,,1
2400 PEARL AV,1,,,,,,,,,,,,1
2400 PENTICOST ST,,,,,1,,,,,,,,1
2400 REFUGIO AV,,,1,,,,,,,,,,1
2400 RIDGMAR PLZ,,,,,,1,,,,,,,1
2400 RIVERBEND WEST DR,,,,1,,,,,,,,,1
2400 RIVERS EDGE DR,,,,,1,,,,,,,,1
2400 ROBINSON ST,,,1,,,,,,,,,,1
2400 RODEO ST,,,,,,1,,,,,,,1
2400 ROGERS AVE,,,,,1,,,,,,,,1
2400 ROSS AV,,1,,,,,,,,,,,1
2400 RUSHING SPRINGS DR,,,,,,1,,,,,,,1
2400 S E LOOP,1,,,,,,,,,,,,1
2400 SCOTT AV,,1,,,,,,,,,,,1
2400 SH 121,,1,,,,,,,,,,,1
2400 SILVER THORN CT,,,,1,,,,,,,,,1
2400 SPRUCE SPRINGS WAY,,1,,,,,,,,,,,1
2400 STADIUM DR,,,,,,1,,,,,,,1
2400 STANLEY AV,,,1,,,,,,,,,,1
2400 STATE HWY,,,1,,,,,,,,,,1
2400 TERMINAL RD,,,,1,,,,,,,,,1
2400 TORONTO ST,,,,,,1,,,,,,,1
2400 W BOLT ST,,,,,,,,,,,1,,1
2400 WARRIOR CI,,,1,,,,,,,,,,1
2400 WARWICK AV,,1,,,,,,,,,,,1
2400 WEST FREEWAY,,,,,,1,,,,,,,1
2400 WEST FW,,1,,,,,,,,,,,1
2400 WINDSPRINT WAY,1,,,,,,,,,,,,1
2400 WINTON TER E,,,,1,,,,,,,,,1
2400 YATES ST,,,,,1,,,,,,,,1
2500 ALEMEDA ST,,,,,,1,,,,,,,1
2500 ALTA MERE DR,,,,,,,,,,,1,,1
2500 AVONDALE HASLET RD,,,,1,,,,,,,,,1
2500 AZLE AV,,1,,,,,,,,,,,1
2500 BEN AVE,,,,,,1,,,,,,,1
2500 BOYD AV,,1,,,,,,,,,,,1
2500 CASTLE CIR,,,,1,,,,,,,,,1
2500 CHADWICK DR,,,1,,,,,,,,,,1
2500 CHICAGO AV,1,,,,,,,,,,,,1
2500 COCKRELL AVE,,,,,1,,,,,,,,1
2500 COLD SPRINGS RD2500 WARFIELD AV,1,,,,,,,,,,,,1
2500 COLONIAL PK,,,,,1,,,,,,,,1
2500 COLUMBUS AV,,,1,,,,,,,,,,1
2500 CONNER AVE,,,,,1,,,,,,,,1
2500 DECATUR AV,1,,,,,,,,,,,,1
2500 DEEN RD,,,,,,1,,,,,,,1
2500 DILLARD ST,,,,,1,,,,,,,,1
2500 DODGE AVE,,,,1,,,,,,,,,1
2500 DOTTIE LYNN PK,,,,1,,,,,,,,,1
2500 E INTERSTATE 820 FREEWAY,,,,,,1,,,,,,,1
2500 E INTERSTATE 820 FREEWAY S,,,,,1,,,,,,,,1
2500 EAST FR,,,,1,,,,,,,,,1
2500 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,1,,,,,1
2500 EDGECLIFF RD,,,,1,,,,,,,,,1
2500 EMBREY PL,,,,,,1,,,,,,,1
2500 EMILY DR,,,,,1,,,,,,,,1
2500 ESCALANTE AVE,,,,,,1,,,,,,,1
2500 EVANS AV,,1,,,,,,,,,,,1
2500 FISHER AVE,,,,,,1,,,,,,,1
2500 GOBI DR,,1,,,,,,,,,,,1
2500 GOULD AV,,,1,,,,,,,,,,1
2500 GREAT SOUTHWEST PK,,,,,1,,,,,,,,1
2500 GREY KINGBIRD TRL,,,,,,,,1,,,,,1
2500 GUENTHER AV,,1,,,,,,,,,,,1
2500 HAYNES AVE,,,,,,1,,,,,,,1
2500 HIGHCREST AV,,,1,,,,,,,,,,1
2500 HITSON LN,,,,,1,,,,,,,,1
2500 INDUSTRIAL BL,,,,,1,,,,,,,,1
2500 LAS VEGAS TRAIL,,,,,,1,,,,,,,1
2500 LEE AV,,,1,,,,,,,,,,1
2500 LOTUS AVE,,,,,1,,,,,,,,1
2500 LUDELLE ST,,,,,1,,,,,,,,1
2500 MALL CIR,,,,,,,,1,,,,,1
2500 MARKET AV,,,1,,,,,,,,,,1
2500 MEADERS AVE,,,,,1,,,,,,,,1
2500 MILL SPRINGS PA,,1,,,,,,,,,,,1
2500 MILLER AV,,1,,,,,,,,,,,1
2500 MONTCLAIR DR,,,,,,1,,,,,,,1
2500 N HOUSTON ST,,,,,,,,,,,1,,1
2500 NEW YORK AV,1,,,,,,,,,,,,1
2500 NORMONT CI,,,1,,,,,,,,,,1
2500 NORTHWEST COLLEGE DR,,1,,,,,,,,,,,1
